vehicle,segment_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current,min_current,max_current,num_samples,integrated_current_ah,estimated_capacity_ah
4,874,401223934.0,401231934.0,2.2222222222222223,40.0,89.0,49.0,-108.23904109589041,-173.7,3.7,146,241.42138888888888,492.6967120181406
4,1288,402224615.0,402231245.0,1.8416666666666666,27.0,72.0,45.0,-146.9917355371901,-175.1,-106.9,121,264.0436111111111,586.7635802469135
4,1772,403045802.0,403055952.0,2.8194444444444446,15.0,96.0,81.0,-113.53360215053763,-199.2,0.5,372,414.665,511.9320987654321
4,1868,403125050.0,403133630.0,2.3833333333333333,64.0,99.0,35.0,-69.14356435643565,-124.2,-12.1,202,206.4677777777778,589.9079365079366
4,2270,403193204.0,403200824.0,2.1166666666666667,48.0,90.0,42.0,-110.81851851851853,-171.5,-54.3,108,163.71083333333334,389.78769841269843
4,2570,404010605.0,404012535.0,0.5361111111111111,51.0,79.0,28.0,-124.85631067961165,-180.6,-99.6,103,66.88138888888888,238.8621031746031
4,2580,404134058.0,404135858.0,0.5,79.0,92.0,13.0,-59.72580645161288,-85.2,-54.8,93,29.604722222222218,227.72863247863245
4,2802,404215107.0,404222937.0,2.175,57.0,95.0,38.0,-84.88984375000001,-140.5,-1.6,128,229.98833333333334,605.2324561403509
4,3176,405033813.0,405042823.0,2.5027777777777778,50.0,99.0,49.0,-84.25827814569537,-179.3,-22.6,302,236.6386111111111,482.93594104308386
4,3296,405130513.0,405132953.0,0.6777777777777778,72.0,92.0,20.0,-82.75168539325843,-125.4,-36.2,89,51.44694444444445,257.2347222222222
4,3730,405234658.0,406005748.0,214.19166666666666,11.0,98.0,87.0,-100.15904761904761,-182.8,-14.9,315,38986.04694444443,44811.548212005095
4,3954,406133700.0,406141750.0,2.236111111111111,54.0,92.0,38.0,-89.56862745098039,-167.5,0.9,153,148.01277777777779,389.5073099415205
4,4300,407010130.0,407021020.0,3.025,27.0,99.0,72.0,-84.9969696969697,-197.7,-15.5,231,219.53333333333333,304.9074074074074
4,4476,407115643.0,407124453.0,2.4472222222222224,47.0,97.0,50.0,-87.8717277486911,-162.4,-36.7,191,271.3688888888889,542.7377777777778
4,4834,407205037.0,407212617.0,2.1055555555555556,60.0,93.0,33.0,-87.35177304964537,-112.2,-53.9,141,199.54444444444442,604.6801346801346
4,5154,408050211.0,408055801.0,1.5527777777777778,22.0,95.0,73.0,-113.10773809523809,-200.1,2.4,336,175.58499999999998,240.52739726027394
4,5632,409132650.0,409141010.0,2.3222222222222224,6.0,77.0,71.0,-146.92000000000002,-176.7,-105.5,170,310.5583333333333,437.4061032863849
4,5882,409191904.0,409195724.0,1.0611111111111111,54.0,94.0,40.0,-94.00902255639099,-166.6,-46.8,133,92.99111111111111,232.47777777777776
4,6084,410020428.0,410024348.0,1.0888888888888888,56.0,94.0,38.0,-86.12070707070708,-142.4,0.4,198,95.91111111111111,252.39766081871346
4,6376,410192854.0,410195454.0,0.7222222222222222,43.0,81.0,38.0,-127.35980392156864,-198.1,0.5,102,92.25,242.76315789473685
4,6854,411033252.0,411043452.0,2.8333333333333335,20.0,98.0,78.0,-107.64128686327076,-199.0,-36.8,373,322.71638888888884,413.73896011396005
4,7040,411124021.0,411132051.0,2.2305555555555556,72.0,93.0,21.0,-47.376223776223775,-66.8,0.4,143,80.61194444444445,383.8664021164021
4,7570,412004300.0,412015630.0,3.147222222222222,19.0,98.0,79.0,-89.21756756756756,-194.2,0.6,296,405.57138888888886,513.3815049226441
4,7746,412121156.0,412124746.0,0.9972222222222222,54.0,91.0,37.0,-95.52061068702291,-166.7,-36.8,131,92.61583333333333,250.31306306306305
4,8094,412221040.0,412223140.0,0.5833333333333334,45.0,76.0,31.0,-137.16849315068492,-198.0,-4.7,73,76.7286111111111,247.5116487455197
4,8250,413131008.0,413134248.0,0.9,61.0,93.0,32.0,-83.807,-167.9,-54.8,100,74.35694444444444,232.36545138888886
4,8516,413195107.0,413203027.0,2.2,51.0,93.0,42.0,-95.21607142857142,-164.6,3.7,112,238.03833333333333,566.7579365079365
4,8768,414033405.0,414034355.0,0.2638888888888889,27.0,45.0,18.0,-157.87166666666673,-171.8,-43.7,60,42.56472222222222,236.4706790123457
4,8814,414041140.0,414050610.0,2.6305555555555555,39.0,98.0,59.0,-93.14634146341463,-196.6,0.6,328,192.98944444444444,327.10075329566854
4,9268,414171041.0,414174551.0,0.975,22.0,79.0,57.0,-146.61451612903227,-197.2,-35.2,186,142.56194444444446,250.1086744639377
4,9472,414203057.0,414214027.0,3.047222222222222,46.0,89.0,43.0,-53.09354066985646,-165.3,1.0,418,171.9302777777778,399.8378552971577
4,9936,415091926.0,415100726.0,2.4444444444444446,24.0,90.0,66.0,-120.26678200692041,-197.5,4.1,289,220.20111111111112,333.6380471380471
4,10456,416004555.0,416020455.0,4.416666666666667,25.0,97.0,72.0,-79.44800000000001,-95.0,-4.7,475,329.395,457.49305555555554
4,10706,416133659.0,416135959.0,0.6388888888888888,74.0,93.0,19.0,-69.76546762589926,-125.3,-53.7,139,44.94361111111111,236.5453216374269
4,11120,416193405.0,416201405.0,2.2222222222222223,56.0,95.0,39.0,-88.2240663900415,-166.6,-19.3,241,158.5986111111111,406.66310541310537
4,11616,417024149.0,417033159.0,2.5027777777777778,41.0,95.0,54.0,-95.32549668874172,-148.9,0.7,302,273.365,506.23148148148147
